EMAX_pop,1,0.13,-0.424,-0.817,-0.792,-0.54,-0.231,0.00318,-0.0111,0.00238,0.00736,6e-5,-0.0014
beta_EMAX_COV_AGE,0.13,1,6.21e-5,-0.108,-0.021,-0.0617,-0.00855,0.00032,0.00662,-0.00547,-0.00884,-0.00237,0.00305
beta_EMAX_CAT_STD_AVENUE,-0.424,6.21e-5,1,0.347,0.341,0.23,0.0995,0.000418,-0.0248,0.0188,0.0104,0.000244,0.000114
beta_EMAX_CAT_STD_HARBOR,-0.817,-0.108,0.347,1,0.647,0.442,0.189,-0.000822,-0.0023,0.00342,-0.0003,0.0019,-0.00202
beta_EMAX_CAT_STD_MARINA,-0.792,-0.021,0.341,0.647,1,0.429,0.185,0.000181,0.00208,-0.00147,0.000355,0.000584,-0.00057
beta_EMAX_CAT_STD_PIER,-0.54,-0.0617,0.23,0.442,0.429,1,0.125,0.0282,0.00461,0.00196,0.0065,-0.00346,0.00352
beta_EMAX_CAT_STD_STAIRWAY,-0.231,-0.00855,0.0995,0.189,0.185,0.125,1,-0.000344,-0.00626,5.27e-5,0.00204,0.00215,-0.00176
C50_pop,0.00318,0.00032,0.000418,-0.000822,0.000181,0.0282,-0.000344,1,-0.00859,0.0129,-0.0137,-0.00102,0.000725
k_out_pop,-0.0111,0.00662,-0.0248,-0.0023,0.00208,0.00461,-0.00626,-0.00859,1,-0.0575,-0.268,-0.0205,0.0177
omega_EMAX,0.00238,-0.00547,0.0188,0.00342,-0.00147,0.00196,5.27e-5,0.0129,-0.0575,1,0.0455,0.0144,-0.0168
omega_k_out,0.00736,-0.00884,0.0104,-0.0003,0.000355,0.0065,0.00204,-0.0137,-0.268,0.0455,1,-0.0257,0.0112
a,6e-5,-0.00237,0.000244,0.0019,0.000584,-0.00346,0.00215,-0.00102,-0.0205,0.0144,-0.0257,1,-0.918
b,-0.0014,0.00305,0.000114,-0.00202,-0.00057,0.00352,-0.00176,0.000725,0.0177,-0.0168,0.0112,-0.918,1
