EMAX_pop,1,0.0738,-0.947,-0.939,-0.8,-0.443,0.00606,-0.0323,0.0202,0.0152,-0.00109,0.000408
beta_EMAX_COV_AGE,0.0738,1,-0.0712,-0.0175,-0.0533,-0.011,0.000111,0.00793,-0.00262,-0.0107,-0.00339,0.00378
beta_EMAX_CAT_STD_HARBOR,-0.947,-0.0712,1,0.889,0.758,0.42,-0.00182,0.0239,-0.0163,-0.0116,0.00202,-0.00191
beta_EMAX_CAT_STD_MARINA,-0.939,-0.0175,0.889,1,0.752,0.417,0.000629,0.0255,-0.0182,-0.0108,0.00154,-0.00147
beta_EMAX_CAT_STD_PIER,-0.8,-0.0533,0.758,0.752,1,0.355,0.0621,0.0215,-0.00795,-0.00997,7.78e-6,-7.37e-7
beta_EMAX_CAT_STD_STAIRWAY,-0.443,-0.011,0.42,0.417,0.355,1,-0.00062,-0.00124,-0.0116,0.0033,0.00178,-0.00128
C50_pop,0.00606,0.000111,-0.00182,0.000629,0.0621,-0.00062,1,-0.0285,0.0495,-0.0494,0.00651,-0.0059
k_out_pop,-0.0323,0.00793,0.0239,0.0255,0.0215,-0.00124,-0.0285,1,-0.0614,-0.277,-0.0156,0.0129
omega_EMAX,0.0202,-0.00262,-0.0163,-0.0182,-0.00795,-0.0116,0.0495,-0.0614,1,0.0453,0.0131,-0.0162
omega_k_out,0.0152,-0.0107,-0.0116,-0.0108,-0.00997,0.0033,-0.0494,-0.277,0.0453,1,-0.0345,0.0176
a,-0.00109,-0.00339,0.00202,0.00154,7.78e-6,0.00178,0.00651,-0.0156,0.0131,-0.0345,1,-0.915
b,0.000408,0.00378,-0.00191,-0.00147,-7.37e-7,-0.00128,-0.0059,0.0129,-0.0162,0.0176,-0.915,1
