parameter,value,se_sa,rse_sa
EMAX_pop,0.127433773445357,0.0100411034977431,7.87946807684282
beta_EMAX_CAT_STD_HARBOR,0.01441562622114,0.0122936739404928,85.2801935337681
beta_EMAX_CAT_STD_MARINA,-0.0312817440862139,0.0125052596403799,-39.9762225722289
beta_EMAX_CAT_STD_PIER,-0.0726191007637421,0.018558821387334,-25.5563910763823
beta_EMAX_CAT_STD_STAIRWAY,0.0240555700921397,0.0431085279986992,179.203934197283
beta_EMAX_COV_AGE,-0.00490688949420497,0.000552362725424471,-11.2568812906182
C50_pop,0.0107959117511072,0.000472978105381055,4.38108532456788
k_out_pop,1.23986411936787,0.135434698510238,10.9233500989841
omega_EMAX,0.163347545626869,0.00316906671941258,1.94007611638782
omega_k_out,3.0279256845543,0.119451432502111,3.94499221402438
a,0.0242628603092131,0.000584615951736312,2.40950961381219
b,0.0840946464860035,0.00148737996740998,1.76869756823049
