EMAX_pop,1,0.166,-0.419,-0.789,-0.537,-0.226,0.0146,-0.0156,0.0044,0.00544,0.00196,-0.0036
beta_EMAX_COV_AGE,0.166,1,0.00215,-0.0263,-0.0798,-0.0101,2.65e-5,0.00735,-0.00145,-0.00985,-0.000187,0.00057
beta_EMAX_CAT_STD_AVENUE,-0.419,0.00215,1,0.339,0.226,0.0978,0.00181,-0.0375,0.0171,0.0166,-0.000474,0.00154
beta_EMAX_CAT_STD_MARINA,-0.789,-0.0263,0.339,1,0.426,0.182,0.00102,0.00201,0.000848,0.00185,0.0015,-0.00196
beta_EMAX_CAT_STD_PIER,-0.537,-0.0798,0.226,0.426,1,0.122,0.111,0.00441,0.0116,-0.000207,-0.00523,0.00478
beta_EMAX_CAT_STD_STAIRWAY,-0.226,-0.0101,0.0978,0.182,0.122,1,-0.000914,-0.0178,0.0027,0.00825,0.00141,-0.000326
C50_pop,0.0146,2.65e-5,0.00181,0.00102,0.111,-0.000914,1,-0.0334,0.0624,-0.0523,-0.00676,0.00622
k_out_pop,-0.0156,0.00735,-0.0375,0.00201,0.00441,-0.0178,-0.0334,1,-0.0784,-0.273,-0.0256,0.0173
omega_EMAX,0.0044,-0.00145,0.0171,0.000848,0.0116,0.0027,0.0624,-0.0784,1,0.0548,0.0195,-0.0221
omega_k_out,0.00544,-0.00985,0.0166,0.00185,-0.000207,0.00825,-0.0523,-0.273,0.0548,1,-0.0124,0.00265
a,0.00196,-0.000187,-0.000474,0.0015,-0.00523,0.00141,-0.00676,-0.0256,0.0195,-0.0124,1,-0.917
b,-0.0036,0.00057,0.00154,-0.00196,0.00478,-0.000326,0.00622,0.0173,-0.0221,0.00265,-0.917,1
