parameter,value,se_sa,rse_sa
EMAX_pop,0.130004770491452,0.010166427369703,7.82004178098334
beta_EMAX_CAT_STD_AVENUE,-0.00103661014322845,0.0235502215909945,-2271.84942621235
beta_EMAX_CAT_STD_MARINA,-0.0319388315633836,0.0125891767025886,-39.4165224159969
beta_EMAX_CAT_STD_PIER,-0.0719636959602129,0.0188214670097108,-26.1541139022609
beta_EMAX_CAT_STD_STAIRWAY,0.0232846313726665,0.0439380623168527,188.699840738861
beta_EMAX_COV_AGE,-0.00363480788862405,0.000697440706156302,-19.1878285600485
C50_pop,0.0118187024357242,0.00230291367416732,19.4853342546838
k_out_pop,0.987947881828182,0.150456820614501,15.22922649888
omega_EMAX,0.164109557782156,0.00393813776305368,2.39970042956381
omega_k_out,3.27984617272035,0.166621967674623,5.0801762918175
a,0.0200974333446024,0.000737604045756041,3.67014052545242
b,0.100405505403075,0.00202750923896381,2.01932078407896
