EMAX_pop,1,0.154,-0.422,-0.818,-0.539,-0.23,0.00986,-0.0154,0.00308,0.0104,-0.000941,-0.000585
beta_EMAX_COV_AGE,0.154,1,0.00555,-0.128,-0.0735,-0.0107,6.1e-5,0.0074,0.00372,-0.00912,-0.00426,0.00408
beta_EMAX_CAT_STD_AVENUE,-0.422,0.00555,1,0.346,0.229,0.0998,0.0018,-0.0293,0.0189,0.0164,-0.000166,0.000375
beta_EMAX_CAT_STD_HARBOR,-0.818,-0.128,0.346,1,0.442,0.189,-0.00234,-0.000161,0.00334,-0.00174,0.00265,-0.00288
beta_EMAX_CAT_STD_PIER,-0.539,-0.0735,0.229,0.442,1,0.125,0.0936,0.00917,0.00769,-0.00661,-0.00325,0.0033
beta_EMAX_CAT_STD_STAIRWAY,-0.23,-0.0107,0.0998,0.189,0.125,1,-0.000553,-0.0112,0.0105,0.00728,0.00217,-0.00194
C50_pop,0.00986,6.1e-5,0.0018,-0.00234,0.0936,-0.000553,1,-0.0326,0.0454,-0.0422,-0.000735,0.000894
k_out_pop,-0.0154,0.0074,-0.0293,-0.000161,0.00917,-0.0112,-0.0326,1,-0.0578,-0.229,-0.0293,0.0255
omega_EMAX,0.00308,0.00372,0.0189,0.00334,0.00769,0.0105,0.0454,-0.0578,1,0.0431,0.0152,-0.0173
omega_k_out,0.0104,-0.00912,0.0164,-0.00174,-0.00661,0.00728,-0.0422,-0.229,0.0431,1,-0.0339,0.0216
a,-0.000941,-0.00426,-0.000166,0.00265,-0.00325,0.00217,-0.000735,-0.0293,0.0152,-0.0339,1,-0.921
b,-0.000585,0.00408,0.000375,-0.00288,0.0033,-0.00194,0.000894,0.0255,-0.0173,0.0216,-0.921,1
