parameter,value,se_sa,rse_sa
EMAX_pop,0.125327914045826,0.00972250801962256,7.7576556616649
beta_EMAX_CAT_STD_AVENUE,-0.00654039375639952,0.0223967497558681,-342.437330075941
beta_EMAX_CAT_STD_HARBOR,0.015862624774437,0.0118852766937315,74.9262928597094
beta_EMAX_CAT_STD_PIER,-0.0703670615548401,0.0179516214877434,-25.5113985024839
beta_EMAX_CAT_STD_STAIRWAY,0.0297994631398762,0.0414656388846984,139.148946039941
beta_EMAX_COV_AGE,-0.00536078488650994,0.000615913192078698,-11.4892353473948
C50_pop,0.00992445393463758,0.00158464829528976,15.9671081726637
k_out_pop,1.74457614408671,0.203098022779028,11.6416829077616
omega_EMAX,0.157590694768097,0.00363132794014102,2.30427814629837
omega_k_out,2.74129541614571,0.122997459420814,4.48683708791041
a,0.0255691097846602,0.000733056744214089,2.86696232441332
b,0.0789200975849712,0.00183314386686806,2.32278459221918
