EMAX_pop,1,0.13,-0.424,-0.816,-0.791,-0.54,0.00599,-0.0114,0.0042,0.0071,-0.00019,-0.0011
beta_EMAX_COV_AGE,0.13,1,-0.00129,-0.107,-0.0202,-0.0624,-0.00087,0.00802,-0.00305,-0.0111,-0.00165,0.002
beta_EMAX_CAT_STD_AVENUE,-0.424,-0.00129,1,0.347,0.34,0.229,0.000559,-0.0268,0.0125,0.00908,9.07e-5,0.000905
beta_EMAX_CAT_STD_HARBOR,-0.816,-0.107,0.347,1,0.646,0.441,-0.00152,-0.00242,0.0023,-0.000676,0.00256,-0.00247
beta_EMAX_CAT_STD_MARINA,-0.791,-0.0202,0.34,0.646,1,0.428,0.000534,0.00118,0.000531,0.000257,0.0012,-0.00132
beta_EMAX_CAT_STD_PIER,-0.54,-0.0624,0.229,0.441,0.428,1,0.0501,0.00635,-0.00147,0.00275,-0.00334,0.00333
C50_pop,0.00599,-0.00087,0.000559,-0.00152,0.000534,0.0501,1,-0.0166,0.0241,-0.0218,-0.00135,0.00118
k_out_pop,-0.0114,0.00802,-0.0268,-0.00242,0.00118,0.00635,-0.0166,1,-0.0578,-0.236,-0.0261,0.0208
omega_EMAX,0.0042,-0.00305,0.0125,0.0023,0.000531,-0.00147,0.0241,-0.0578,1,0.0421,0.0149,-0.0172
omega_k_out,0.0071,-0.0111,0.00908,-0.000676,0.000257,0.00275,-0.0218,-0.236,0.0421,1,-0.021,0.00643
a,-0.00019,-0.00165,9.07e-5,0.00256,0.0012,-0.00334,-0.00135,-0.0261,0.0149,-0.021,1,-0.917
b,-0.0011,0.002,0.000905,-0.00247,-0.00132,0.00333,0.00118,0.0208,-0.0172,0.00643,-0.917,1
