EMAX_pop,9.91e-5,6.96e-7,-9.74e-5,-9.91e-5,-9.78e-5,-9.89e-5,5.18e-6,-1.2e-5,1.29e-7,8.05e-6,-1.09e-9,-1.62e-8
beta_EMAX_COV_AGE,6.96e-7,2.9e-7,-1.6e-8,-7.04e-7,-1.35e-7,-6.19e-7,-4.07e-8,4.6e-7,-5.06e-9,-6.83e-7,-5.13e-10,1.59e-9
beta_EMAX_CAT_STD_AVENUE,-9.74e-5,-1.6e-8,0.000532,9.75e-5,9.74e-5,9.74e-5,1.12e-6,-6.58e-5,8.88e-7,2.39e-5,1.21e-9,3.08e-8
beta_EMAX_CAT_STD_HARBOR,-9.91e-5,-7.04e-7,9.75e-5,0.000149,9.78e-5,9.89e-5,-1.61e-6,-3.14e-6,8.65e-8,-9.39e-7,1.81e-8,-4.45e-8
beta_EMAX_CAT_STD_MARINA,-9.78e-5,-1.35e-7,9.74e-5,9.78e-5,0.000154,9.77e-5,5.76e-7,1.56e-6,2.03e-8,3.64e-7,8.61e-9,-2.41e-8
beta_EMAX_CAT_STD_PIER,-9.89e-5,-6.19e-7,9.74e-5,9.89e-5,9.77e-5,0.000339,8.01e-5,1.24e-5,-8.33e-8,5.77e-6,-3.55e-8,9.05e-8
C50_pop,5.18e-6,-4.07e-8,1.12e-6,-1.61e-6,5.76e-7,8.01e-5,0.00754,-0.000153,6.44e-6,-0.000216,-6.78e-8,1.51e-7
k_out_pop,-1.2e-5,4.6e-7,-6.58e-5,-3.14e-6,1.56e-6,1.24e-5,-0.000153,0.0113,-1.9e-5,-0.00285,-1.61e-6,3.26e-6
omega_EMAX,1.29e-7,-5.06e-9,8.88e-7,8.65e-8,2.03e-8,-8.33e-8,6.44e-6,-1.9e-5,9.5e-6,1.48e-5,2.66e-8,-7.82e-8
omega_k_out,8.05e-6,-6.83e-7,2.39e-5,-9.39e-7,3.64e-7,5.77e-6,-0.000216,-0.00285,1.48e-5,0.013,-1.39e-6,1.08e-6
a,-1.09e-9,-5.13e-10,1.21e-9,1.81e-8,8.61e-9,-3.55e-8,-6.78e-8,-1.61e-6,2.66e-8,-1.39e-6,3.34e-7,-7.83e-7
b,-1.62e-8,1.59e-9,3.08e-8,-4.45e-8,-2.41e-8,9.05e-8,1.51e-7,3.26e-6,-7.82e-8,1.08e-6,-7.83e-7,2.18e-6
