parameter,value,se_sa,rse_sa
EMAX_pop,0.12767991813272,0.00995610798239847,7.79770862012096
beta_EMAX_CAT_STD_AVENUE,-0.00565957365310292,0.0230686092775744,-407.60330532896
beta_EMAX_CAT_STD_HARBOR,0.0138772926346824,0.0121946074546578,87.8745427921644
beta_EMAX_CAT_STD_MARINA,-0.0314552927257784,0.012407035355845,-39.4433949924017
beta_EMAX_CAT_STD_PIER,-0.0720887876723165,0.0184015863830432,-25.5262808228772
beta_EMAX_COV_AGE,-0.00481196179900734,0.000538541553454714,-11.1917254531366
C50_pop,0.0114083368181847,0.000990591330537793,8.68304772487786
k_out_pop,1.29812184201843,0.138123806349835,10.6402805868414
omega_EMAX,0.162039391698937,0.00308295058796535,1.90259328650983
omega_k_out,2.99817722305319,0.11390162282206,3.7990290215756
a,0.0240308951824749,0.000578201815247466,2.40607688917529
b,0.0847235991896184,0.00147596411857431,1.74209326880812
